dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,6,first2_ema,selected_training,0.12719891745602166,0.10013531799729364,0.019743955757013924
aptos2019,6,full_llrd,frozen_lr,0.16914749661705006,0.13667117726657646,0.02230208515775088
aptos2019,6,full_llrd,last2,0.2124492557510149,0.16779431664411368,0.022539700423525936
aptos2019,6,full_llrd,full,0.14749661705006767,0.11502029769959404,0.0182884736292435
aptos2019,6,full_llrd,selected_training,0.14749661705006767,0.11502029769959404,0.0182884736292435
aptos2019,6,full_llrd_ema,frozen_lr,0.09201623815967523,0.07307171853856563,0.018912773260539036
aptos2019,6,full_llrd_ema,last2,0.13531799729364005,0.12043301759133965,0.019130373675776437
aptos2019,6,full_llrd_ema,full,0.09066305818673884,0.07036535859269283,0.01551170488214117
aptos2019,6,full_llrd_ema,selected_training,0.09066305818673884,0.07036535859269283,0.01551170488214117
aptos2019,6,selected_surgical,frozen_lr,0.16914749661705006,0.13667117726657646,0.02230208515775088
aptos2019,6,selected_surgical,last2,0.2124492557510149,0.16779431664411368,0.022539700423525936
aptos2019,6,selected_surgical,full,0.14749661705006767,0.11502029769959404,0.0182884736292435
aptos2019,6,selected_surgical,selected_training,0.14749661705006767,0.11502029769959404,0.0182884736292435
aptos2019,7,emb,frozen_lr,0.0,0.0,0.0
aptos2019,7,emb,last2,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,emb,full,0.0,0.0,0.0
aptos2019,7,emb,selected_training,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,emb_ema,frozen_lr,0.06758620689655172,0.057931034482758624,0.01667057600368626
aptos2019,7,emb_ema,last2,0.1889655172413793,0.15862068965517243,0.02377209442005102
aptos2019,7,emb_ema,full,0.06758620689655172,0.057931034482758624,0.01667057600368626
aptos2019,7,emb_ema,selected_training,0.1889655172413793,0.15862068965517243,0.02377209442005102
aptos2019,7,first2,frozen_lr,0.0,0.0,0.0
aptos2019,7,first2,last2,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,first2,full,0.0,0.0,0.0
aptos2019,7,first2,selected_training,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,first2_ema,frozen_lr,0.02482758620689655,0.022068965517241378,0.010102810714183482
aptos2019,7,first2_ema,last2,0.16275862068965516,0.13379310344827586,0.02096674731796319
aptos2019,7,first2_ema,full,0.02482758620689655,0.022068965517241378,0.010102810714183482
aptos2019,7,first2_ema,selected_training,0.16275862068965516,0.13379310344827586,0.02096674731796319
aptos2019,7,full_llrd,frozen_lr,0.0,0.0,0.0
aptos2019,7,full_llrd,last2,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,full_llrd,full,0.0,0.0,0.0
aptos2019,7,full_llrd,selected_training,0.16,0.13379310344827586,0.019896715471321047
aptos2019,7,full_llrd_ema,frozen_lr,0.09517241379310344,0.08137931034482758,0.020536082894305398
