condition,seed,arm,fold,bacc,mcc,macro_mae,lr,wd,epoch,per_class_recall
group,0,B4,3,0.6784228291209919,0.6913494038429691,0.2779291553133515,0.01,10.0,160,"[0.971830985915493, 0.7528089887640449, 0.6052631578947368, 0.717948717948718, 0.3442622950819672]"
group,0,B4,4,0.6740217111380529,0.7135184164073674,0.23868312757201646,0.01,1.0,70,"[0.9785522788203753, 0.640625, 0.6745283018867925, 0.5862068965517241, 0.49019607843137253]"
group,0,B4,5,0.6746681161160092,0.6931689363551472,0.24525745257452575,0.001,10.0,190,"[0.9808219178082191, 0.6835443037974683, 0.6, 0.6666666666666666, 0.4423076923076923]"
group,0,B4,6,0.6567692796134416,0.6691596834730313,0.28532235939643347,0.001,1.0,110,"[0.9747899159663865, 0.625, 0.5812807881773399, 0.6511627906976745, 0.45161290322580644]"
group,0,B4,7,0.6681066871909894,0.6839005542769508,0.2716049382716049,0.01,10.0,40,"[0.9861111111111112, 0.64, 0.6030150753768844, 0.6785714285714286, 0.43283582089552236]"
group,0,B4,8,0.6515279192799506,0.6723389308431275,0.2837653478854025,0.001,1.0,160,"[0.9618528610354223, 0.6835443037974683, 0.6153846153846154, 0.5789473684210527, 0.417910447761194]"
group,0,B4,9,0.6932414414945468,0.7033986337123391,0.24147339699863574,0.01,3.0,60,"[0.9719101123595506, 0.7808219178082192, 0.6, 0.6666666666666666, 0.44680851063829785]"
group,0,B4,10,0.6959995265090905,0.6969631196125596,0.2673942701227831,0.01,1.0,50,"[0.9771428571428571, 0.7088607594936709, 0.6010362694300518, 0.7, 0.49295774647887325]"
group,0,B4,11,0.6615588614224545,0.681082419795355,0.2605729877216917,0.001,10.0,460,"[0.9613259668508287, 0.7407407407407407, 0.5911330049261084, 0.5945945945945946, 0.42]"
group,0,B4,12,0.6679331007476117,0.6915780651103627,0.26021798365122617,0.01,10.0,150,"[0.9914772727272727, 0.7142857142857143, 0.6027397260273972, 0.6511627906976745, 0.38]"
group,0,B4,13,0.6705141721686556,0.6787527876335568,0.2755798090040928,0.01,10.0,80,"[0.9664804469273743, 0.676056338028169, 0.6243386243386243, 0.7073170731707317, 0.3783783783783784]"
group,0,B4,14,0.6750550711539189,0.699568553136974,0.23731138545953362,0.01,10.0,60,"[0.9817232375979112, 0.6521739130434783, 0.6051282051282051, 0.65625, 0.48]"
group,0,B0d,0,0.6125791417133295,0.7030490460797791,0.27906976744186046,0.001,3.0,210,"[0.980225988700565, 0.5774647887323944, 0.7867298578199052, 0.36363636363636365, 0.3548387096774194]"
group,0,B0d,1,0.6090679201471455,0.6847063724889503,0.2592087312414734,0.001,3.0,160,"[0.9714285714285714, 0.49295774647887325, 0.7828282828282829, 0.22, 0.578125]"
group,0,B0d,2,0.6257585304313775,0.6966905676739195,0.2639455782312925,0.01,1.0,30,"[0.9731903485254692, 0.5866666666666667, 0.7393617021276596, 0.2857142857142857, 0.543859649122807]"
group,0,B0d,3,0.6457875020438941,0.723936971345639,0.24114441416893734,0.001,3.0,230,"[0.9859154929577465, 0.5056179775280899, 0.8210526315789474, 0.358974358974359, 0.5573770491803278]"
group,0,B0d,4,0.5908062672763249,0.7192616010099888,0.23868312757201646,0.01,3.0,50,"[0.9892761394101877, 0.421875, 0.8160377358490566, 0.27586206896551724, 0.45098039215686275]"
group,0,B0d,5,0.6296462308283012,0.7224311701265457,0.23306233062330622,0.01,3.0,110,"[0.9808219178082191, 0.5949367088607594, 0.795, 0.14285714285714285, 0.6346153846153846]"
group,0,B0d,6,0.6180142917231046,0.6983010748180899,0.2674897119341564,0.01,1.0,90,"[0.9803921568627451, 0.515625, 0.7684729064039408, 0.32558139534883723, 0.5]"
group,0,B0d,7,0.5947983580541895,0.6713031957650377,0.29492455418381347,0.01,0.01,170,"[0.9777777777777777, 0.4, 0.7587939698492462, 0.4642857142857143, 0.373134328358209]"
group,0,B0d,8,0.6525477279460398,0.7159285010578685,0.2551159618008186,0.01,1.0,60,"[0.9782016348773842, 0.6075949367088608, 0.7527472527472527, 0.34210526315789475, 0.582089552238806]"
group,0,B0d,9,0.6124574289637486,0.6822845122821735,0.2783083219645293,0.01,0.0001,150,"[0.9747191011235955, 0.5205479452054794, 0.7255813953488373, 0.30952380952380953, 0.5319148936170213]"
group,0,B0d,10,0.6713806245355652,0.7407988329843566,0.24556616643929058,0.01,1.0,90,"[0.9857142857142858, 0.5569620253164557, 0.8290155440414507, 0.45, 0.5352112676056338]"
group,0,B0d,11,0.6301353256112894,0.6854545522609629,0.27012278308321963,0.01,1.0,240,"[0.9640883977900553, 0.5061728395061729, 0.729064039408867, 0.35135135135135137, 0.6]"
group,0,B0d,12,0.6410420381625384,0.7466696656839007,0.21934604904632152,0.01,3.0,40,"[0.9857954545454546, 0.6142857142857143, 0.8493150684931506, 0.2558139534883721, 0.5]"
group,0,B0d,13,0.631216169519542,0.707071108224764,0.2673942701227831,0.01,3.0,50,"[0.9804469273743017, 0.5352112676056338, 0.8042328042328042, 0.3902439024390244, 0.44594594594594594]"
group,0,B0d,14,0.5997909604396436,0.7007637932870266,0.25102880658436216,0.01,3.0,140,"[0.97911227154047, 0.5072463768115942, 0.7538461538461538, 0.21875, 0.54]"
group,0,B1d,0,0.6480666406065186,0.6629435149707777,0.33105335157318744,0.001,10.0,60,"[0.980225988700565, 0.647887323943662, 0.5687203791469194, 0.5757575757575758, 0.46774193548387094]"
group,0,B1d,1,0.6549313964595654,0.6590383039399348,0.3015006821282401,0.001,10.0,60,"[0.9514285714285714, 0.6197183098591549, 0.601010101010101, 0.54, 0.5625]"
