bacc,mcc,macro_mae,per_class_recall,n_train,n_test,fold,arm,dataset,backbone,lever,loss,repeat,fold_in_repeat,splitter,count_mode
0.6597782448865128,0.6909618189977699,0.2691256830601093,"[0.9861495844875346, 0.7162162162162162, 0.605, 0.5, 0.4915254237288136]",2930,732,9,B4,aptos2019,panderm,rebalance,corn,1,4,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6580199567866124,0.70943799749332,0.26875852660300137,"[0.9916897506925207, 0.7837837837837838, 0.655, 0.4358974358974359, 0.423728813559322]",2929,733,10,B4,aptos2019,panderm,rebalance,corn,2,0,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6733988108200512,0.7152576181017355,0.24147339699863574,"[0.9695290858725761, 0.7702702702702703, 0.675, 0.358974358974359, 0.5932203389830508]",2929,733,11,B4,aptos2019,panderm,rebalance,corn,2,1,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.7028801339486818,0.7180986966022886,0.2650273224043716,"[0.9833795013850416, 0.7027027027027027, 0.645, 0.6578947368421053, 0.5254237288135594]",2930,732,12,B4,aptos2019,panderm,rebalance,corn,2,2,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6138602285700046,0.6712371712618733,0.2855191256830601,"[0.9778393351800554, 0.5945945945945946, 0.6633165829145728, 0.358974358974359, 0.4745762711864407]",2930,732,13,B4,aptos2019,panderm,rebalance,corn,2,3,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6408304323385313,0.674077093453258,0.2814207650273224,"[0.9556786703601108, 0.6621621621621622, 0.655, 0.47368421052631576, 0.4576271186440678]",2930,732,14,B4,aptos2019,panderm,rebalance,corn,2,4,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6137759316847538,0.6769752799868811,0.2933151432469304,"[0.9778393351800554, 0.5405405405405406, 0.7, 0.358974358974359, 0.4915254237288136]",2929,733,0,B0d,aptos2019,dinov2,none,ce,0,0,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6325969916110767,0.6890082833857586,0.28415300546448086,"[0.9778393351800554, 0.5675675675675675, 0.705, 0.42105263157894735, 0.4915254237288136]",2930,732,1,B0d,aptos2019,dinov2,none,ce,0,1,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.630195761617002,0.6795630351914829,0.28512960436562074,"[0.9695290858725761, 0.47297297297297297, 0.705, 0.41025641025641024, 0.5932203389830508]",2929,733,2,B0d,aptos2019,dinov2,none,ce,0,2,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6104627447297994,0.7017992884825816,0.26366120218579236,"[0.9861495844875346, 0.5, 0.77, 0.23684210526315788, 0.559322033898305]",2930,732,3,B0d,aptos2019,dinov2,none,ce,0,3,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6407969373620438,0.6952134902231304,0.2827868852459016,"[0.9750692520775623, 0.527027027027027, 0.7236180904522613, 0.4358974358974359, 0.5423728813559322]",2930,732,4,B0d,aptos2019,dinov2,none,ce,0,4,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.5943817383856822,0.6746816881022402,0.29195088676671216,"[0.9916897506925207, 0.5405405405405406, 0.7, 0.28205128205128205, 0.4576271186440678]",2929,733,5,B0d,aptos2019,dinov2,none,ce,1,0,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6084682746143847,0.6837028522300779,0.27967257844474763,"[0.9778393351800554, 0.527027027027027, 0.73, 0.28205128205128205, 0.5254237288135594]",2929,733,6,B0d,aptos2019,dinov2,none,ce,1,1,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6310505936708106,0.7003704678043726,0.2827868852459016,"[0.9750692520775623, 0.5405405405405406, 0.74, 0.2894736842105263, 0.6101694915254238]",2930,732,7,B0d,aptos2019,dinov2,none,ce,1,2,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6179502606985341,0.6797387102508649,0.3005464480874317,"[0.9778393351800554, 0.43243243243243246, 0.7185929648241206, 0.38461538461538464, 0.576271186440678]",2930,732,8,B0d,aptos2019,dinov2,none,ce,1,3,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6133224564533546,0.6773005436976679,0.296448087431694,"[0.9722991689750693, 0.5, 0.725, 0.39473684210526316, 0.4745762711864407]",2930,732,9,B0d,aptos2019,dinov2,none,ce,1,4,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.647398186862387,0.7179047651959799,0.2673942701227831,"[0.9861495844875346, 0.6351351351351351, 0.74, 0.3333333333333333, 0.5423728813559322]",2929,733,10,B0d,aptos2019,dinov2,none,ce,2,0,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6270473846015892,0.6893431683520227,0.2605729877216917,"[0.9750692520775623, 0.47297297297297297, 0.735, 0.358974358974359, 0.5932203389830508]",2929,733,11,B0d,aptos2019,dinov2,none,ce,2,1,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
