dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B0d,temp,ece_top_em,3,0.017893862514849045,0.01559768643837311,0.019956548152749012,0.0043588617143759025,탐색적/exploratory
aptos2019,B0d,temp,ece_top_db,3,0.0023897609791245114,0.0,0.007169282937373534,0.007169282937373534,탐색적/exploratory
aptos2019,B0d,temp,ece_top_rms_em,3,0.022179595313787298,0.020124031381989017,0.023973189744804946,0.0038491583628159284,탐색적/exploratory
aptos2019,B0d,temp,ece_top_bias_corr,3,0.019789834334662793,0.016803906807431414,0.02244156481456794,0.005637658007136528,탐색적/exploratory
aptos2019,B0d,temp,ece_dep_em,3,0.017893862514849045,0.01559768643837311,0.019956548152749012,0.0043588617143759025,탐색적/exploratory
aptos2019,B0d,temp,cwece_ew,3,0.03000287545640855,0.02715397632305061,0.032199850592738805,0.005045874269688194,탐색적/exploratory
aptos2019,B0d,temp,cwece_em,3,0.029481083443869505,0.026952994382051492,0.03173813212463143,0.00478513774257994,탐색적/exploratory
aptos2019,B0d,temp,cwece_db,3,0.05236862658991546,0.04964735648398635,0.05374656237539906,0.004099205891412709,탐색적/exploratory
aptos2019,B0d,temp,cwece_rms_em,3,0.05468893821602205,0.05203251599379903,0.056133555823837965,0.004101039830038934,탐색적/exploratory
aptos2019,B0d,temp,brier_multiclass,3,0.28674606957769755,0.28049407033065243,0.2901463771787773,0.009652306848124848,탐색적/exploratory
aptos2019,B0d,temp,brier_balanced,3,0.5080734486198578,0.49838503052908356,0.5137580429471137,0.01537301241803013,탐색적/exploratory
aptos2019,B0d,temp,brier_ovr_mean,3,0.057349213915539515,0.05609881406613049,0.05802927543575546,0.0019304613696249709,탐색적/exploratory
aptos2019,B0d,temp,nll,3,0.5479205878825993,0.5348557340285887,0.5550525218752614,0.02019678784667278,탐색적/exploratory
aptos2019,B0d,temp,acc,3,0.7981066812306571,0.7949208083014746,0.801201529219006,0.006280720917531402,탐색적/exploratory
aptos2019,B0d,temp,bacc,3,0.6281591349549295,0.6237121090977422,0.6328944609700888,0.009182351872346617,탐색적/exploratory
aptos2019,B0d,temp,mean_conf,3,0.7955119812977062,0.7903785761654852,0.8051560562339611,0.014777480068475901,탐색적/exploratory
aptos2019,B0d,temp,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B1,none,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B1,none,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B1,none,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
