dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,11,0.3333333333333333,0.6237506041183678,0.6403001889052408,-0.016549584786872962,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,11,0.3333333333333333,0.6237506041183678,0.6382879578773752,-0.014537353759007443,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,11,0.3333333333333333,0.6237506041183678,0.6403001889052408,-0.016549584786872962,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,11,0.3333333333333333,0.6237506041183678,0.65338556373389,-0.029634959615522205,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,offset,11,0.3333333333333333,0.6237506041183678,0.6475241228110847,-0.023773518692716933,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,union,11,0.3333333333333333,0.6237506041183678,0.65338556373389,-0.029634959615522205,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,tau,12,0.3684210526315789,0.6377742198276025,0.6645943890272732,-0.026820169199670674,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,offset,12,0.3684210526315789,0.6377742198276025,0.6508846665812251,-0.013110446753622607,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,panderm,B0,union,12,0.3684210526315789,0.6377742198276025,0.6645943890272732,-0.026820169199670674,탐색적/exploratory
aptos2019,B0,w11_preds_panderm,dinov2,B0d,tau,12,0.3684210526315789,0.6377742198276025,0.6718768347200668,-0.034102614892464245,탐색적/exploratory
