dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
aptos2019,B1,w1,folds_all,15,3,1,mild,0,no_dr,64,1110,0.05765765765765766,0.0031208122658898693,0.05405405405405406,0.05945945945945946,0.021346381970619537,0.02702702702702703,0.0945945945945946,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,1,mild,1,mild,738,1110,0.6648648648648648,0.011780807955515341,0.6513513513513514,0.672972972972973,0.05263583521622439,0.5675675675675675,0.7432432432432432,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,1,mild,2,moderate,246,1110,0.22162162162162163,0.004681218398834804,0.21621621621621623,0.22432432432432434,0.054963393659746514,0.14864864864864866,0.33783783783783783,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,1,mild,3,severe,15,1110,0.013513513513513514,0.002702702702702703,0.010810810810810811,0.016216216216216217,0.011421003442277252,0.0,0.04054054054054054,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,1,mild,4,proliferative_dr,47,1110,0.04234234234234234,0.006801652644388063,0.03513513513513514,0.04864864864864865,0.017594771531669884,0.013513513513513514,0.06756756756756757,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,2,moderate,0,no_dr,23,2997,0.007674341007674341,0.0025191306090326156,0.005005005005005005,0.01001001001001001,0.00651745196450955,0.0,0.02,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,2,moderate,1,mild,396,2997,0.13213213213213212,0.0036091604358998927,0.12812812812812813,0.13513513513513514,0.01881235512605034,0.085,0.15577889447236182,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,2,moderate,2,moderate,1995,2997,0.6656656656656657,0.012779925260063758,0.6546546546546547,0.6796796796796797,0.03221961572325211,0.625,0.745,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,2,moderate,3,severe,285,2997,0.09509509509509509,0.004587162857813657,0.09109109109109109,0.1001001001001001,0.013971476636244618,0.07,0.11055276381909548,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,2,moderate,4,proliferative_dr,298,2997,0.09943276609943276,0.004167499498430697,0.0960960960960961,0.1041041041041041,0.017767778644073234,0.07,0.13,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,3,severe,0,no_dr,3,579,0.0051813471502590676,0.0051813471502590676,0.0,0.010362694300518135,0.010803649202381088,0.0,0.02631578947368421,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,3,severe,1,mild,12,579,0.02072538860103627,0.010362694300518133,0.010362694300518135,0.031088082901554404,0.01990071273812079,0.0,0.05128205128205128,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,3,severe,2,moderate,186,579,0.32124352331606215,0.005181347150259058,0.3160621761658031,0.32642487046632124,0.06811518838379733,0.21052631578947367,0.47368421052631576,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,3,severe,3,severe,248,579,0.4283246977547496,0.007914638505968633,0.41968911917098445,0.43523316062176165,0.07919286221082361,0.23076923076923078,0.5526315789473685,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,3,severe,4,proliferative_dr,130,579,0.22452504317789293,0.015829277011937273,0.20725388601036268,0.23834196891191708,0.0820065921440666,0.07894736842105263,0.358974358974359,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,4,proliferative_dr,0,no_dr,4,885,0.004519774011299435,0.0019571195565750025,0.003389830508474576,0.006779661016949152,0.010061302367875656,0.0,0.03389830508474576,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,4,proliferative_dr,1,mild,55,885,0.062146892655367235,0.003914239113150004,0.0576271186440678,0.06440677966101695,0.03049950545228601,0.01694915254237288,0.13559322033898305,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,4,proliferative_dr,2,moderate,196,885,0.2214689265536723,0.024522637756170286,0.19322033898305085,0.23728813559322035,0.04856316371801503,0.13559322033898305,0.3220338983050847,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,4,proliferative_dr,3,severe,150,885,0.1694915254237288,0.014775928622171768,0.15254237288135594,0.17966101694915254,0.0695889000639221,0.05084745762711865,0.288135593220339,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,4,proliferative_dr,4,proliferative_dr,480,885,0.5423728813559322,0.021169484740333512,0.5186440677966102,0.559322033898305,0.07525554609162252,0.3898305084745763,0.6440677966101694,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,repeat0,5,1,0,no_dr,0,no_dr,1760,1805,0.9750692520775623,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
