dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
aptos2019,wd_wce,wd=1.0,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6837725575239544,"[0.9806094182825484, 0.7297297297297297, 0.655, 0.5789473684210527, 0.4745762711864407]",0.873216355569767,0.26229508196721313,0.6818617511520737,37,0.9337883959044369,,,0.930424690246582,,
aptos2019,ordcost,"cdf2,lam=1.0,wce",7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6803671521185489,"[0.9806094182825484, 0.7027027027027027, 0.665, 0.5789473684210527, 0.4745762711864407]",0.867238372028922,0.2691256830601093,0.6781463811330984,37,0.9655290102389078,,0.9325650990009308,0.9219591021537781,,
aptos2019,B0,ce·wd1e-4,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6385841893351165,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",0.8694887845118151,0.2677595628415301,0.630769494443532,47,0.9665529010238908,,,,,
aptos2019,B1,wce·wd1e-4,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6370742745186616,"[0.96398891966759, 0.7027027027027027, 0.64, 0.42105263157894735, 0.4576271186440678]",0.8609532426236133,0.29508196721311475,0.6245472642811307,47,0.9604095563139932,,,,,
aptos2019,affine,full,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6727137817661786,"[0.9722991689750693, 0.7162162162162162, 0.535, 0.631578947368421, 0.5084745762711864]",0.876488646012497,0.28688524590163933,0.6637243319710592,47,,1.526910662651062,0.9959796845912934,1.0,,
aptos2019,affine_offset,offset,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6766698296963567,"[0.9722991689750693, 0.7297297297297297, 0.56, 0.5789473684210527, 0.5423728813559322]",0.872454723839547,0.2855191256830601,0.6686024231527707,47,,1.0,1.000000011920929,1.0,,
aptos2019,affine_scale,scale,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6749860011191999,"[0.9806094182825484, 0.7162162162162162, 0.555, 0.631578947368421, 0.4915254237288136]",0.8747465821073972,0.28415300546448086,0.6653597457873515,47,,1.3795294761657715,0.998121190071106,1.0,,
aptos2019,affine_taunorm,tau=0.0,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6385841893351165,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",0.8694887845118151,0.2677595628415301,0.630769494443532,47,,,,,2.2693662643432617,-0.7
aptos2019,vs,"g=0.1,t=0.0",8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6618097614023244,"[0.9750692520775623, 0.6891891891891891, 0.61, 0.5263157894736842, 0.5084745762711864]",0.8645331221594822,0.2896174863387978,0.6589432293285702,47,0.9488054607508533,,0.9974916040897369,0.9979274868965149,,
aptos2019,vs_la_corner,"g=0,t=1",8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6624386451337012,"[0.96398891966759, 0.7297297297297297, 0.61, 0.5, 0.5084745762711864]",0.8674792834749125,0.28688524590163933,0.6517316339317162,47,,,0.9778195738792419,0.9763470888137817,,
aptos2019,wd_ce,wd=0.01,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6385841893351165,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]",0.8694887845118151,0.2677595628415301,0.630769494443532,47,0.9665529010238908,,,0.9999958276748657,,
aptos2019,wd_wce,wd=0.3,8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6580920903531824,"[0.9667590027700831, 0.7567567567567568, 0.645, 0.4473684210526316, 0.4745762711864407]",0.8731948217644276,0.27459016393442626,0.6483882763137315,47,0.9549488054607509,,,0.9438061714172363,,
aptos2019,ordcost,"cdf2,lam=0.1,wce",8,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6360742745186616,"[0.96398891966759, 0.7027027027027027, 0.635, 0.42105263157894735, 0.4576271186440678]",0.8597682728180337,0.2978142076502732,0.6233911949169688,47,0.9621160409556314,,0.9559306681156159,0.9474086761474609,,
aptos2019,B0,ce·wd1e-4,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.5892626060102722,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",0.8509159823120657,0.2923497267759563,0.5872040070579705,41,0.9648464163822525,,,,,
aptos2019,B1,wce·wd1e-4,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6073471446234601,"[0.9667590027700831, 0.5945945945945946, 0.6683417085427136, 0.23076923076923078, 0.576271186440678]",0.84635405734436,0.31420765027322406,0.5970372193895763,41,0.9634812286689419,,,,,
aptos2019,affine,full,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6334224862287023,"[0.9695290858725761, 0.6756756756756757, 0.5527638190954773, 0.358974358974359, 0.6101694915254238]",0.8570908765927023,0.3128415300546448,0.6337213826278607,41,,1.3972270488739014,0.9977349102497101,1.0,,
aptos2019,affine_offset,offset,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6258415686145679,"[0.9695290858725761, 0.6351351351351351, 0.5979899497487438, 0.3333333333333333, 0.5932203389830508]",0.850436203980005,0.3155737704918033,0.6229386080814319,41,,1.0,0.9999999463558197,1.0,,
aptos2019,affine_scale,scale,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6214680144613156,"[0.9722991689750693, 0.6081081081081081, 0.5577889447236181, 0.358974358974359, 0.6101694915254238]",0.844979462955492,0.32786885245901637,0.6195197019555919,41,,1.2935080528259277,0.998455947637558,1.0,,
aptos2019,affine_taunorm,tau=0.0,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.5892626060102722,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]",0.8509159823120657,0.2923497267759563,0.5872040070579705,41,,,,,2.2588322162628174,-0.7
aptos2019,vs,"g=0.0,t=1.5",9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6236255735172687,"[0.9529085872576177, 0.6351351351351351, 0.5778894472361809, 0.358974358974359, 0.5932203389830508]",0.8367119315171625,0.34153005464480873,0.6215164251731808,41,0.9109215017064847,,0.9726710796356202,0.9708256125450134,,
aptos2019,vs_la_corner,"g=0,t=1",9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.612562339867347,"[0.961218836565097, 0.5945945945945946, 0.6482412060301508, 0.3333333333333333, 0.5254237288135594]",0.8467009929646163,0.31830601092896177,0.6072000107557091,41,,,0.979894882440567,0.9787498712539673,,
aptos2019,wd_ce,wd=0.1,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.5874318172479245,"[0.9750692520775623, 0.5405405405405406, 0.7587939698492462, 0.20512820512820512, 0.4576271186440678]",0.8506933851060878,0.29098360655737704,0.585101757353057,41,0.962457337883959,,,0.9995207786560059,,
aptos2019,wd_wce,wd=1.0,9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6222807515029458,"[0.9695290858725761, 0.5945945945945946, 0.6633165829145728, 0.3076923076923077, 0.576271186440678]",0.863617727325142,0.296448087431694,0.6182716131801943,41,0.9382252559726962,,,0.930526077747345,,
aptos2019,ordcost,"abs,lam=0.5,wce",9,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.5998341341124085,"[0.9667590027700831, 0.5945945945945946, 0.6733668341708543, 0.20512820512820512, 0.559322033898305]",0.8430703762210259,0.31830601092896177,0.5928851726059506,41,0.9665529010238908,,0.9364656150341034,0.9304537177085876,,
aptos2019,B0,ce·wd1e-4,10,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6643416500574583,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]",0.9094184968482375,0.21145975443383355,0.6520411863454687,45,0.9610788665073404,,,,,
aptos2019,B1,wce·wd1e-4,10,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6824855952392458,"[0.9833795013850416, 0.6486486486486487, 0.7, 0.48717948717948717, 0.5932203389830508]",0.8915178984367773,0.24283765347885403,0.6655534391564369,45,0.9614202799590303,,,,,
aptos2019,affine,full,10,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6985592875123838,"[0.9916897506925207, 0.7837837837837838, 0.56, 0.5641025641025641, 0.5932203389830508]",0.8849508344150611,0.26193724420190995,0.6855061240446861,45,,1.5861260890960693,0.9953664243221283,1.0,,
