epoch,train_loss,train_acc,bacc,per_class_recall,arm,dataset,fold,n_train,n_test
25,0.4109290838241577,0.8668487538409013,0.6171916065736903,"[0.9806094182825484, 0.5945945945945946, 0.745, 0.358974358974359, 0.4067796610169492]",B0,aptos2019,11,2929,733
50,0.27482715249061584,0.906452714236941,0.6047505138288274,"[0.9778393351800554, 0.6216216216216216, 0.795, 0.2564102564102564, 0.3728813559322034]",B0,aptos2019,11,2929,733
75,0.22478540241718292,0.9235233868214408,0.61024845244541,"[0.9778393351800554, 0.6621621621621622, 0.765, 0.2564102564102564, 0.3898305084745763]",B0,aptos2019,11,2929,733
100,0.19335922598838806,0.9354728576305906,0.6194892878048893,"[0.9778393351800554, 0.6351351351351351, 0.77, 0.3076923076923077, 0.4067796610169492]",B0,aptos2019,11,2929,733
125,0.17042307555675507,0.9467395015363606,0.621914790230392,"[0.9778393351800554, 0.6216216216216216, 0.77, 0.3333333333333333, 0.4067796610169492]",B0,aptos2019,11,2929,733
150,0.15212613344192505,0.9549334243769204,0.6302484678678397,"[0.9806094182825484, 0.6216216216216216, 0.775, 0.3333333333333333, 0.4406779661016949]",B0,aptos2019,11,2929,733
175,0.13702252507209778,0.9586889723455104,0.6282484678678397,"[0.9806094182825484, 0.6216216216216216, 0.765, 0.3333333333333333, 0.4406779661016949]",B0,aptos2019,11,2929,733
200,0.12428024411201477,0.9641515875725504,0.6237506041183678,"[0.9750692520775623, 0.6216216216216216, 0.765, 0.3333333333333333, 0.423728813559322]",B0,aptos2019,11,2929,733
25,0.41291719675064087,0.8617747440273038,0.6052785944778527,"[0.9861495844875346, 0.6216216216216216, 0.775, 0.23684210526315788, 0.4067796610169492]",B0,aptos2019,12,2930,732
50,0.27228376269340515,0.9092150170648464,0.6333874537949377,"[0.9778393351800554, 0.6621621621621622, 0.795, 0.34210526315789475, 0.3898305084745763]",B0,aptos2019,12,2930,732
75,0.22070002555847168,0.9290102389078498,0.645290722949815,"[0.9833795013850416, 0.6891891891891891, 0.805, 0.34210526315789475, 0.4067796610169492]",B0,aptos2019,12,2930,732
100,0.18950583040714264,0.9402730375426621,0.6366816866164253,"[0.9833795013850416, 0.6756756756756757, 0.8, 0.3684210526315789, 0.3559322033898305]",B0,aptos2019,12,2930,732
125,0.16759590804576874,0.9494880546075085,0.6321056565274603,"[0.9833795013850416, 0.6621621621621622, 0.8, 0.34210526315789475, 0.3728813559322034]",B0,aptos2019,12,2930,732
150,0.15022556483745575,0.956655290102389,0.6370715171248998,"[0.9833795013850416, 0.6756756756756757, 0.785, 0.3684210526315789, 0.3728813559322034]",B0,aptos2019,12,2930,732
175,0.13578172028064728,0.9638225255972697,0.6377742198276025,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]",B0,aptos2019,12,2930,732
200,0.12346331030130386,0.9699658703071672,0.6377742198276025,"[0.9833795013850416, 0.6891891891891891, 0.775, 0.3684210526315789, 0.3728813559322034]",B0,aptos2019,12,2930,732
25,0.42053261399269104,0.8614334470989761,0.6317824399825902,"[0.9861495844875346, 0.581081081081081, 0.775, 0.34210526315789475, 0.4745762711864407]",B0,aptos2019,13,2930,732
50,0.28348076343536377,0.9027303754266212,0.6694325136442136,"[0.9806094182825484, 0.6891891891891891, 0.825, 0.39473684210526316, 0.4576271186440678]",B0,aptos2019,13,2930,732
75,0.23346161842346191,0.9235494880546075,0.6713607858762561,"[0.9833795013850416, 0.6621621621621622, 0.825, 0.39473684210526316, 0.4915254237288136]",B0,aptos2019,13,2930,732
100,0.20315338671207428,0.9348122866894198,0.671047913682028,"[0.9833795013850416, 0.6486486486486487, 0.82, 0.39473684210526316, 0.5084745762711864]",B0,aptos2019,13,2930,732
125,0.18063783645629883,0.9430034129692833,0.6713452109793253,"[0.9833795013850416, 0.6351351351351351, 0.835, 0.39473684210526316, 0.5084745762711864]",B0,aptos2019,13,2930,732
