dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B1,offset,13,0.675526905843822,"[0.9750692520775623, 0.7432432432432432, 0.6, 0.5, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,13,0.6747494108973521,"[0.9833795013850416, 0.7297297297297297, 0.575, 0.5263157894736842, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,14,0.6691026424499651,"[0.9750692520775623, 0.6216216216216216, 0.6432160804020101, 0.46153846153846156, 0.6440677966101694]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,14,0.6513625096654097,"[0.9722991689750693, 0.6621621621621622, 0.4824120603015075, 0.5128205128205128, 0.6271186440677966]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,14,0.6602284743071545,"[0.9695290858725761, 0.6621621621621622, 0.5125628140703518, 0.5128205128205128, 0.6440677966101694]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,14,0.656455087078036,"[0.9806094182825484, 0.6486486486486487, 0.48743718592964824, 0.5384615384615384, 0.6271186440677966]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,none,0,0.6544386899693722,"[0.9889196675900277, 0.5675675675675675, 0.84, 0.3333333333333333, 0.5423728813559322]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,full,0,0.7025940168066088,"[0.9806094182825484, 0.7702702702702703, 0.57, 0.6666666666666666, 0.5254237288135594]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,offset,0,0.7025833479667462,"[0.9778393351800554, 0.7297297297297297, 0.605, 0.6410256410256411, 0.559322033898305]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,scale,0,0.6910554253488194,"[0.9889196675900277, 0.7162162162162162, 0.575, 0.6666666666666666, 0.5084745762711864]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,none,1,0.635869157896624,"[0.9778393351800554, 0.6216216216216216, 0.815, 0.2564102564102564, 0.5084745762711864]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,full,1,0.6589060168526809,"[0.9695290858725761, 0.7567567567567568, 0.53, 0.5128205128205128, 0.5254237288135594]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,offset,1,0.6494701546541068,"[0.9695290858725761, 0.7432432432432432, 0.565, 0.41025641025641024, 0.559322033898305]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,scale,1,0.6722707694168796,"[0.9778393351800554, 0.7702702702702703, 0.575, 0.5128205128205128, 0.5254237288135594]",14645,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,none,2,0.6546326956093612,"[0.9833795013850416, 0.6216216216216216, 0.81, 0.3157894736842105, 0.5423728813559322]",14650,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B2,full,2,0.7060311358355867,"[0.9778393351800554, 0.7837837837837838, 0.525, 0.6842105263157895, 0.559322033898305]",14650,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
