dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B3d,1,full,733,0.30559345156889495,0.4251513518524176
aptos2019,B3d,1,leakfree,702,0.3034188034188034,0.42962340539725863
aptos2019,B3d,1,conflict_excluded,698,0.2994269340974212,0.43026445425815973
aptos2019,B3d,2,full,732,0.28005464480874315,0.4079198680816128
aptos2019,B3d,2,leakfree,690,0.2768115942028985,0.4157243675009038
aptos2019,B3d,2,conflict_excluded,686,0.2755102040816326,0.4158594730995847
aptos2019,B3d,3,full,732,0.34153005464480873,0.44299533666724616
aptos2019,B3d,3,leakfree,696,0.34339080459770116,0.4603201825453177
aptos2019,B3d,3,conflict_excluded,690,0.34057971014492755,0.4576525331472766
aptos2019,B3d,4,full,732,0.34289617486338797,0.49311844231725105
aptos2019,B3d,4,leakfree,689,0.34107402031930334,0.5129610236977925
aptos2019,B3d,4,conflict_excluded,685,0.3357664233576642,0.5040888206049001
aptos2019,B3d,5,full,733,0.29195088676671216,0.4090843818389243
aptos2019,B3d,5,leakfree,698,0.2922636103151863,0.4292082416672581
aptos2019,B3d,5,conflict_excluded,695,0.2920863309352518,0.4338505938505938
aptos2019,B3d,6,full,733,0.32332878581173263,0.42622613065849835
aptos2019,B3d,6,leakfree,697,0.32281205164992827,0.43478432729455874
aptos2019,B3d,6,conflict_excluded,695,0.320863309352518,0.4323165232422682
aptos2019,B3d,7,full,732,0.3401639344262295,0.4565466732989621
aptos2019,B3d,7,leakfree,695,0.3338129496402878,0.46033288153971264
aptos2019,B3d,7,conflict_excluded,695,0.3338129496402878,0.46033288153971264
aptos2019,B3d,8,full,732,0.3155737704918033,0.4340266932973633
aptos2019,B3d,8,leakfree,685,0.30656934306569344,0.44202764428699776
aptos2019,B3d,8,conflict_excluded,683,0.30600292825768666,0.440390188463282
aptos2019,B3d,9,full,732,0.33060109289617484,0.4482957505101418
aptos2019,B3d,9,leakfree,691,0.32416787264833574,0.4480628597019741
aptos2019,B3d,9,conflict_excluded,689,0.32220609579100146,0.4491650427162474
aptos2019,B3d,10,full,733,0.339699863574352,0.4691795116796761
aptos2019,B3d,10,leakfree,688,0.34011627906976744,0.4943554670953336
aptos2019,B3d,10,conflict_excluded,688,0.34011627906976744,0.4943554670953336
aptos2019,B3d,11,full,733,0.3519781718963165,0.4767253532411521
aptos2019,B3d,11,leakfree,699,0.35336194563662376,0.4981494281494282
aptos2019,B3d,11,conflict_excluded,697,0.35294117647058826,0.49962176796430946
aptos2019,B3d,12,full,732,0.31420765027322406,0.4707254178917168
aptos2019,B3d,12,leakfree,693,0.3116883116883117,0.48457774643167906
aptos2019,B3d,12,conflict_excluded,689,0.30914368650217705,0.48225554843479373
aptos2019,B3d,13,full,732,0.31830601092896177,0.45964038154309994
aptos2019,B3d,13,leakfree,688,0.313953488372093,0.47788926172578705
aptos2019,B3d,13,conflict_excluded,684,0.30994152046783624,0.46900353729582384
aptos2019,B3d,14,full,732,0.3128415300546448,0.43418000339890883
aptos2019,B3d,14,leakfree,689,0.3047895500725689,0.43559702355961816
aptos2019,B3d,14,conflict_excluded,687,0.3027656477438137,0.4333566181796491
aptos2019,B4,0,full,733,0.25375170532060026,0.4157933037827869
aptos2019,B4,0,leakfree,694,0.2478386167146974,0.43004527400911485
aptos2019,B4,0,conflict_excluded,692,0.24710982658959538,0.43033152493909493
aptos2019,B4,1,full,733,0.2660300136425648,0.43857795971472663
aptos2019,B4,1,leakfree,702,0.25925925925925924,0.4394453922143796
aptos2019,B4,1,conflict_excluded,698,0.25501432664756446,0.43649094715164904
aptos2019,B4,2,full,732,0.27595628415300544,0.47399852042285956
aptos2019,B4,2,leakfree,690,0.26956521739130435,0.4823226512779585
aptos2019,B4,2,conflict_excluded,686,0.26822157434402333,0.4836076499565343
aptos2019,B4,3,full,732,0.25956284153005466,0.3970498221588883
aptos2019,B4,3,leakfree,696,0.257183908045977,0.41417982482377036
aptos2019,B4,3,conflict_excluded,690,0.2536231884057971,0.41125883470274704
aptos2019,B4,4,full,732,0.26639344262295084,0.4469190079120571
aptos2019,B4,4,leakfree,689,0.2612481857764877,0.4635221371889199
aptos2019,B4,4,conflict_excluded,685,0.2583941605839416,0.4583622766541412
aptos2019,B4,5,full,733,0.2755798090040928,0.4623676574471448
aptos2019,B4,5,leakfree,698,0.27507163323782235,0.47975382237677316
aptos2019,B4,5,conflict_excluded,695,0.2733812949640288,0.4754637954637954
aptos2019,B4,6,full,733,0.22646657571623466,0.3585821110813833
aptos2019,B4,6,leakfree,697,0.22381635581061693,0.3700374298111476
aptos2019,B4,6,conflict_excluded,695,0.22158273381294963,0.3650718165837853
aptos2019,B4,7,full,732,0.2691256830601093,0.4572548552590339
aptos2019,B4,7,leakfree,695,0.2517985611510791,0.4586202222824614
aptos2019,B4,7,conflict_excluded,695,0.2517985611510791,0.4586202222824614
aptos2019,B4,8,full,732,0.2650273224043716,0.421998757713533
aptos2019,B4,8,leakfree,685,0.2569343065693431,0.43369530326283945
aptos2019,B4,8,conflict_excluded,683,0.2562225475841874,0.4347900721530863
aptos2019,B4,9,full,732,0.29918032786885246,0.5169169614783052
aptos2019,B4,9,leakfree,691,0.2937771345875543,0.5209533267130089
aptos2019,B4,9,conflict_excluded,689,0.29172714078374457,0.5225534470756464
aptos2019,B4,10,full,733,0.2551159618008186,0.41622915055893134
aptos2019,B4,10,leakfree,688,0.24709302325581395,0.4337299811082206
aptos2019,B4,10,conflict_excluded,688,0.24709302325581395,0.4337299811082206
aptos2019,B4,11,full,733,0.2987721691678035,0.4934925481195259
aptos2019,B4,11,leakfree,699,0.29756795422031473,0.5144818294818295
aptos2019,B4,11,conflict_excluded,697,0.296987087517934,0.5150542956896549
aptos2019,B4,12,full,732,0.2691256830601093,0.4501772954700322
aptos2019,B4,12,leakfree,693,0.26262626262626265,0.45491982424566696
aptos2019,B4,12,conflict_excluded,689,0.2597968069666183,0.45284924195301557
aptos2019,B4,13,full,732,0.25,0.43736095718235724
aptos2019,B4,13,leakfree,688,0.25,0.4656285031569577
aptos2019,B4,13,conflict_excluded,684,0.24561403508771928,0.45725016324357554
aptos2019,B4,14,full,732,0.2568306010928962,0.4472222664479785
aptos2019,B4,14,leakfree,689,0.2467343976777939,0.44998045243113144
aptos2019,B4,14,conflict_excluded,687,0.2445414847161572,0.45100780990362244
aptos2019,B4d,0,full,733,0.2605729877216917,0.4286499231139825
aptos2019,B4d,0,leakfree,694,0.25504322766570603,0.44158580894587623
aptos2019,B4d,0,conflict_excluded,692,0.2543352601156069,0.44208976669733674
aptos2019,B4d,1,full,733,0.27967257844474763,0.4555117451074538
aptos2019,B4d,1,leakfree,702,0.28062678062678065,0.46581807292152877
aptos2019,B4d,1,conflict_excluded,698,0.27650429799426934,0.46258335439968973
aptos2019,B4d,2,full,732,0.2773224043715847,0.4702121289795359
aptos2019,B4d,2,leakfree,690,0.2710144927536232,0.4776567485897095
aptos2019,B4d,2,conflict_excluded,686,0.2696793002915452,0.4790834782188738
aptos2019,B4d,3,full,732,0.29098360655737704,0.4609893993246733
aptos2019,B4d,3,leakfree,696,0.2916666666666667,0.4822345676122507
aptos2019,B4d,3,conflict_excluded,690,0.28840579710144926,0.4826201374081028
aptos2019,B4d,4,full,732,0.2937158469945355,0.5208255223315972
aptos2019,B4d,4,leakfree,689,0.29172714078374457,0.5471489323087513
aptos2019,B4d,4,conflict_excluded,685,0.28613138686131384,0.5393511135284236
aptos2019,B4d,5,full,733,0.28512960436562074,0.4947533057441034
aptos2019,B4d,5,leakfree,698,0.28653295128939826,0.5262569883061687
aptos2019,B4d,5,conflict_excluded,695,0.2820143884892086,0.5211124061124062
aptos2019,B4d,6,full,733,0.2728512960436562,0.4528054364519926
aptos2019,B4d,6,leakfree,697,0.27403156384505023,0.4682458706523903
