dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B4,B0,fold7,7.0,732,2000,0.6745185359546129,0.6267722217738628,0.7217977574467659,0.02461173662511762,-0.015069853067398028,0.06403153359889983,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold7,7.0,732,2000,0.6658605339928407,0.6200110737979412,0.713725855499506,0.015953734663345487,-0.017052270770073003,0.05024260058999061,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold7,7.0,732,2000,0.6438860687533865,0.5984332121163607,0.691640873849392,-0.006020730576108746,-0.03945706486701968,0.026533960998058246,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold7,7.0,732,2000,0.619692439563842,0.5719343294203282,0.6673318941891192,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold7,7.0,732,2000,0.6206958885266787,0.5689369145035743,0.670179623067379,0.0010034489628366616,-0.0206941419839859,0.02351547241210933,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold7,7.0,732,2000,0.6313526075960931,0.5837892152369023,0.6829488784074783,0.011660168032251117,-0.03321916818618779,0.05834633082151406,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold7,7.0,732,2000,0.6201199333048246,0.5716450982540845,0.6674626757204533,0.0004274937409826096,-0.03873454988002777,0.03988862782716755,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold8,8.0,732,2000,0.6385841893351165,0.5907760146260261,0.6877542068064212,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold8,8.0,732,2000,0.6370742745186616,0.5883272472769022,0.685973693728447,-0.0015099148164549048,-0.026439637392759324,0.025763148739933895,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold8,8.0,732,2000,0.6690589813250971,0.6211477360129357,0.7144979766011238,0.0304747919899806,-0.0006618896126747348,0.060271945297718066,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold8,8.0,732,2000,0.6831477711807304,0.6335662701725959,0.7321931603550912,0.04456358184561393,0.0022284771502017993,0.08802887484431264,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold8,8.0,732,2000,0.6762499825521563,0.6268544498085976,0.7232989451289176,0.03766579321703978,0.00042277038097379444,0.07712416633963587,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold8,8.0,732,2000,0.6682427927716439,0.6199976553022862,0.7166210916638375,0.029658603436527375,0.0002119529247283928,0.06272581920027732,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold8,8.0,732,2000,0.6459612924347419,0.6000925488770008,0.6901903633773326,0.0073771030996253595,-0.02510039523243904,0.0380030308663844,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold8,8.0,732,2000,0.6134048102753206,0.5682434893399477,0.6597144274413584,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold8,8.0,732,2000,0.6293915511830906,0.5831403988599777,0.6767482717335224,0.01598674090777008,-0.0012051482498645794,0.035286432802677174,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold8,8.0,732,2000,0.6387706833083142,0.5920452257990837,0.6869485402107238,0.025365873032993647,-0.022458573877811406,0.07322565406560888,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold8,8.0,732,2000,0.6355170436881314,0.5902055662870407,0.6846111170947552,0.022112233412810878,-0.016798334568738894,0.06421030566096299,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold9,9.0,732,2000,0.5892626060102722,0.5441671719029546,0.6348052053898572,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold9,9.0,732,2000,0.6073471446234601,0.5585165597498417,0.6541249072551726,0.018084538613187817,-0.016287279650569027,0.055998558700084765,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold9,9.0,732,2000,0.588779246732943,0.5450293300673366,0.6338807006925343,-0.0004833592773292317,-0.03823376078158619,0.03654354572296148,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold9,9.0,732,2000,0.612489678210012,0.5601714840531349,0.659512198716402,0.02322707219973974,-0.02067935533821576,0.06466305896639815,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4,B0,fold9,9.0,732,2000,0.6192744777151151,0.5716823233664037,0.6684351740777492,0.030011871704842874,-0.010367893353104613,0.06997052352875469,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5,B0,fold9,9.0,732,2000,0.5969253016436207,0.5527376247942448,0.6400981592386961,0.007662695633348426,-0.025917065665125825,0.042439597807824664,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold9,9.0,732,2000,0.5947715462343394,0.5502227510511876,0.6388301039487123,0.005508940224067116,-0.019289263635873837,0.030591258108615852,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold9,9.0,732,2000,0.6276639447903062,0.5803763579577207,0.6744717833399773,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold9,9.0,732,2000,0.6305321094504818,0.5811260567605495,0.6772548152506351,0.0028681646601755872,-0.01683065891265869,0.02334938988089562,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold9,9.0,732,2000,0.6473152060512781,0.5952962651848793,0.6924463686347007,0.01965126126097194,-0.021493484824895902,0.06181440979242319,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold9,9.0,732,2000,0.6429376611076933,0.594945991486311,0.6900645238161087,0.015273716317387165,-0.018235556781292024,0.05207391679286959,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold10,10.0,733,2000,0.6643416500574583,0.6175150282680989,0.7116905939579009,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold10,10.0,733,2000,0.6824855952392458,0.6341257448494434,0.7313055774569511,0.018143945181787524,-0.011700807511806466,0.04919901028275488,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
